Model,Accuracy,F1,Precision,Recall
XGBoost,0.90962857818784,0.908943419693942,0.9102838740693916,0.90962857818784
Random Forest,0.8687012065294535,0.8662672333112129,0.8713538296726148,0.8687012065294535
Logistic Regression,0.6692689850958127,0.6649735824768178,0.7045743280976174,0.6692689850958127

